epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2581,1.42914,2.04712,1.63352,0.6846,0.54201,0.60154,0.27333,1.55943,2.4403,1.75675,0.00065625,0.00065625,0.00065625
2,27.9145,1.4626,1.71807,1.62714,0.4559,0.3497,0.37716,0.16696,1.99019,2.42775,2.25143,0.00130982,0.00130982,0.00130982
3,40.2413,1.50776,1.57901,1.63294,0.5048,0.51107,0.43902,0.1693,2.10131,2.05721,2.45582,0.00195019,0.00195019,0.00195019
4,52.3562,1.52237,1.53671,1.67343,0.57531,0.536,0.50361,0.22036,2.01927,3.38716,2.52233,0.0019406,0.0019406,0.0019406
5,64.4161,1.47544,1.3522,1.60782,0.59448,0.5393,0.55345,0.22066,2.05225,1.77896,2.43671,0.0019208,0.0019208,0.0019208
6,76.512,1.4167,1.29077,1.5872,0.75105,0.67861,0.70325,0.35644,1.78424,1.36931,2.01841,0.001901,0.001901,0.001901
7,88.6371,1.38756,1.18473,1.55169,0.53054,0.57182,0.51721,0.21011,1.87759,1.71817,2.03916,0.0018812,0.0018812,0.0018812
8,101.329,1.41193,1.16604,1.55829,0.78917,0.65583,0.68589,0.33285,1.76031,1.53501,2.0557,0.0018614,0.0018614,0.0018614
9,122.85,1.36058,1.1193,1.52157,0.62515,0.58537,0.57248,0.25132,1.81693,1.47534,1.93531,0.0018416,0.0018416,0.0018416
10,144.171,1.32589,1.06148,1.5041,0.80717,0.68062,0.73969,0.38772,1.77266,1.3188,1.98225,0.0018218,0.0018218,0.0018218
11,165.467,1.29538,1.05443,1.48342,0.76512,0.71003,0.78103,0.40455,1.68706,1.21837,1.8441,0.001802,0.001802,0.001802
12,187.128,1.31424,1.03181,1.48478,0.83354,0.77353,0.83929,0.41015,1.68216,1.11613,1.86615,0.0017822,0.0017822,0.0017822
13,208.719,1.31882,1.02523,1.47186,0.82754,0.73171,0.79454,0.40439,1.66711,1.23117,1.8962,0.0017624,0.0017624,0.0017624
14,230.284,1.29239,0.9901,1.45379,0.78923,0.8118,0.83446,0.46013,1.49627,1.0825,1.68097,0.0017426,0.0017426,0.0017426
15,253.597,1.25181,0.95575,1.45133,0.76209,0.68293,0.7433,0.42579,1.66263,1.24783,1.95617,0.0017228,0.0017228,0.0017228
16,266.831,1.26455,0.92919,1.45158,0.85191,0.76965,0.82703,0.4697,1.59428,1.00831,1.7918,0.001703,0.001703,0.001703
17,283.923,1.22996,0.9225,1.406,0.90868,0.80896,0.89238,0.46474,1.54662,0.90327,1.70634,0.0016832,0.0016832,0.0016832
18,302.618,1.20731,0.87977,1.40534,0.74569,0.7561,0.77379,0.41133,1.72191,1.14953,1.93854,0.0016634,0.0016634,0.0016634
19,322.738,1.25146,0.88634,1.42921,0.84735,0.76722,0.8455,0.39527,1.71527,1.02872,1.82,0.0016436,0.0016436,0.0016436
20,342.985,1.22238,0.88522,1.41993,0.84198,0.80759,0.85439,0.48516,1.50163,0.97854,1.68459,0.0016238,0.0016238,0.0016238
21,362.508,1.22263,0.89105,1.4191,0.8526,0.78049,0.84666,0.48262,1.5999,0.95078,1.80426,0.001604,0.001604,0.001604
22,383.234,1.19846,0.85386,1.39497,0.79585,0.79946,0.80186,0.45577,1.59083,0.97409,1.83502,0.0015842,0.0015842,0.0015842
